ID,RR
384,41.4
385,2
386,4
387,4
388,0
389,2.2
390,2.2
391,15.7
392,0
393,
394,1.7
395,15.4
396,65.5
397,26.9
398,0.7
399,4.5
400,73.8
401,7.4
402,11.3
403,4.2
404,37.5
405,11
406,39.5
407,7.5
408,
409,0
410,6.2
411,16.7
412,4.9
413,
414,0
415,6.8
416,47.5
417,21.2
418,97.1
419,34.4
420,26
421,32.6
422,20
423,54.9
424,19.6
425,
426,15.3
427,0.4
428,4.9
429,
430,15.7
431,0
432,30.7
433,
434,1
435,13
436,2
437,1.8
438,4.5
439,0.7
440,0
441,
442,4.7
443,21.9
444,
445,0
446,9.8
447,
448,22.1
449,0.1
450,0
451,12.1
452,1.2
453,3.3
454,3
455,6.9
456,1.7
457,0
458,
459,
460,0
461,0.8
462,0
463,44.7
464,8.2
465,0
466,2.4
467,0.4
468,1
469,8.5
470,
471,0
472,0
473,0.3
474,0
475,
476,0
477,0
478,0
479,0
480,0
481,
482,1.8
483,3.7
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,
493,39.2
494,49.3
495,21.4
496,1.7
497,8
498,0
499,0.2
500,6.4
501,2
502,2.3
503,0
504,3.1
505,2.5
506,3
507,0
508,0
509,0
510,0
511,0
512,44.2
513,0
514,2.4
515,14.2
516,22.6
517,15.2
518,0
519,0.7
520,8
521,0
522,0
523,0
524,1.9
525,1.2
526,0
527,0
528,0
529,0
530,12.4
531,0
532,0.2
533,0
534,1.5
535,6.1
536,
537,0
538,
539,0
540,0
541,0
542,17.7
543,5.7
544,48.6
545,16
546,2
547,3.4
548,0
549,0
550,0
551,0
552,0
553,66
554,0
555,0
556,
557,
558,0.8
559,0.4
560,0
561,0
562,0
563,0
564,2
565,0
566,1.8
567,0
568,0
569,6.7
570,0
571,0
572,0
573,16.6
574,1.1
575,0
576,11.5
577,0
578,0
579,0
580,0
581,0
582,0
583,0.2
584,0
585,0
586,0
587,0
588,0
589,13.9
590,55
591,
592,21.2
593,
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,1.2
611,8.1
612,0
613,0
614,0
615,0
616,0
617,2.7
618,0
619,0.3
620,0
621,0
622,
623,0
624,0
625,0.3
626,0
627,0
628,
629,0
630,0
631,1.5
632,
633,0
634,22.9
635,0
636,7
637,0.5
638,0
639,17.8
640,4.7
641,25.7
642,
643,0
644,1.4
645,0
646,36.9
647,61.7
648,28.7
649,0
650,0
651,0
652,0
653,0
654,0
655,
656,
657,0
658,3.5
659,
660,0
661,0
662,0.4
663,
664,28
665,24.8
666,0
667,0.5
668,13.6
669,0
670,0.6
671,0
672,0
673,4.5
674,25.3
675,0
676,0
677,63.5
678,32.5
679,6.2
680,15.5
681,0.4
682,34.3
683,0.1
684,14.4
685,0.2
686,20
687,0
688,20.2
689,22.4
690,2.5
691,1.8
692,51.6
693,3.9
694,82.1
695,0.8
696,0
697,31
698,0
699,43.1
700,0.9
701,0.5
702,44.2
703,5.1
704,36.3
705,
706,0.2
707,11.1
708,0
709,6.3
710,
711,0
712,45.8
713,3.2
714,15.2
715,6.9
716,1
717,0
718,32
719,
720,4.2
721,
722,
723,0
724,0
725,0
726,0
727,0
728,0.2
729,12
730,
731,1
732,0
733,5.3
734,3.6
735,17.6
736,
737,1.1
738,0
739,1.3
740,10
741,42.8
742,1.8
743,2.2
744,15.8
745,1.8
746,0.7
747,47.8
748,1.7
749,0.2
750,1
751,47
752,5.2
753,10.4
754,68.2
755,7.5
756,20.7
757,14.3
758,12.8
759,15.7
